Bill_ID,item_ID,QUANTITY,PRICE,Total,ItemType,ParentID,item_notes,Item,Category,day,Date,Hour,period,date_only
144116,113741,1.0,125.0,125.0,1.0,0.0,(),TNT Fries,side,Sunday,2025-04-28 02:42:43.023,2.0,late_night,2025-04-28
144117,113713,1.0,250.0,250.0,1.0,0.0,(),WildNash,main,Monday,2025-04-29 00:35:30.417,0.0,late_night,2025-04-29
144118,113710,1.0,190.0,230.0,1.0,0.0,combo,Jnash,main,Monday,2025-04-28 18:45:19.403,18.0,evening,2025-04-28
144118,113737,1.0,20.0,20.0,2.0,245489.0,(),Mozzarella Stick,side,Monday,2025-04-28 18:45:19.403,18.0,evening,2025-04-28
144118,113747,1.0,55.0,0.0,4.0,245489.0,(),ONION RINGS,side,Monday,2025-04-28 18:45:19.403,18.0,evening,2025-04-28
144119,113709,1.0,165.0,165.0,1.0,0.0,(),Jvolt,drink,Monday,2025-04-28 18:53:38.480,18.0,evening,2025-04-28
144119,113708,1.0,160.0,200.0,1.0,0.0,combo,JOG,main,Monday,2025-04-28 18:53:38.480,18.0,evening,2025-04-28
144120,113711,1.0,210.0,250.0,1.0,0.0,combo,WildEpic,main,Monday,2025-04-28 18:53:08.053,18.0,evening,2025-04-28
144120,113712,1.0,210.0,250.0,1.0,0.0,combo,WildBlaze,main,Monday,2025-04-28 18:53:08.053,18.0,evening,2025-04-28
144121,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink,Monday,2025-04-28 19:38:22.627,19.0,evening,2025-04-28
144122,113709,1.0,165.0,165.0,1.0,0.0,(),Jvolt,drink,Monday,2025-04-28 20:49:49.307,20.0,evening,2025-04-28
144122,113715,1.0,220.0,220.0,1.0,0.0,(),4PcVolt,drink,Monday,2025-04-28 20:49:49.307,20.0,evening,2025-04-28
144123,113713,1.0,250.0,290.0,1.0,0.0,combo,WildNash,main,Monday,2025-04-28 20:06:11.960,20.0,evening,2025-04-28
144123,113734,1.0,50.0,90.0,4.0,245507.0,combo,BEEF BACON,main,Monday,2025-04-28 20:06:11.960,20.0,evening,2025-04-28
144124,113708,1.0,160.0,160.0,1.0,0.0,(),JOG,main,Monday,2025-04-28 20:41:53.340,20.0,evening,2025-04-28
144125,113708,1.0,160.0,200.0,1.0,0.0,combo,JOG,main,Monday,2025-04-28 20:49:23.970,20.0,evening,2025-04-28
144126,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main,Monday,2025-04-28 23:06:09.533,23.0,evening,2025-04-28
144126,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink,Monday,2025-04-28 23:06:09.533,23.0,evening,2025-04-28
144127,113711,1.0,210.0,210.0,1.0,0.0,(),WildEpic,main,Monday,2025-04-28 23:06:13.970,23.0,evening,2025-04-28
144127,113723,1.0,300.0,300.0,1.0,0.0,(),3PC OG,main,Monday,2025-04-28 23:06:13.970,23.0,evening,2025-04-28
144128,113711,1.0,210.0,250.0,1.0,0.0,combo,WildEpic,main,Monday,2025-04-28 23:14:05.313,23.0,evening,2025-04-28
144129,113710,1.0,190.0,190.0,1.0,0.0,(),Jnash,main,Monday,2025-04-28 22:15:28.620,22.0,evening,2025-04-28
144129,113709,1.0,165.0,165.0,1.0,0.0,(),Jvolt,drink,Monday,2025-04-28 22:15:28.620,22.0,evening,2025-04-28
144129,113742,1.0,35.0,35.0,1.0,0.0,(),French Fries,side,Monday,2025-04-28 22:15:28.620,22.0,evening,2025-04-28
144130,113708,1.0,160.0,160.0,1.0,0.0,(),JOG,main,Monday,2025-04-29 00:32:38.740,0.0,late_night,2025-04-29
144132,113709,1.0,165.0,165.0,1.0,0.0,(),Jvolt,drink,Monday,2025-04-29 00:51:52.960,0.0,late_night,2025-04-29
144132,113708,1.0,160.0,200.0,1.0,0.0,combo,JOG,main,Monday,2025-04-29 00:51:52.960,0.0,late_night,2025-04-29
144132,113712,1.0,210.0,250.0,1.0,0.0,combo,WildBlaze,main,Monday,2025-04-29 00:51:52.960,0.0,late_night,2025-04-29
144131,113723,1.0,300.0,300.0,1.0,0.0,(),3PC OG,main,Monday,2025-04-29 00:35:33.520,0.0,late_night,2025-04-29
144132,113741,1.0,125.0,125.0,1.0,0.0,(),TNT Fries,side,Monday,2025-04-29 00:51:52.960,0.0,late_night,2025-04-29
144132,113746,1.0,80.0,120.0,1.0,0.0,combo,Cheesy Waffle'd,main,Monday,2025-04-29 00:51:52.960,0.0,late_night,2025-04-29
144133,113711,1.0,210.0,250.0,1.0,0.0,combo,WildEpic,main,Monday,2025-04-29 02:48:20.180,2.0,late_night,2025-04-29
144133,113712,1.0,210.0,250.0,1.0,0.0,combo,WildBlaze,main,Monday,2025-04-29 02:48:20.180,2.0,late_night,2025-04-29
144132,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink,Monday,2025-04-29 00:51:52.960,0.0,late_night,2025-04-29
144134,113741,1.0,125.0,125.0,1.0,0.0,(),TNT Fries,side,Monday,2025-04-29 02:48:25.840,2.0,late_night,2025-04-29
144135,113711,1.0,210.0,210.0,1.0,0.0,(),WildEpic,main,Monday,2025-04-29 01:12:04.190,1.0,late_night,2025-04-29
144135,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main,Monday,2025-04-29 01:12:04.190,1.0,late_night,2025-04-29
144135,113725,1.0,380.0,380.0,1.0,0.0,(),3PC NASH,main,Monday,2025-04-29 01:12:04.190,1.0,late_night,2025-04-29
144135,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink,Monday,2025-04-29 01:12:04.190,1.0,late_night,2025-04-29
144135,113746,1.0,80.0,80.0,1.0,0.0,(),Cheesy Waffle'd,main,Monday,2025-04-29 01:12:04.190,1.0,late_night,2025-04-29
144136,113723,1.0,300.0,300.0,1.0,0.0,(),3PC OG,main,Monday,2025-04-29 02:50:24.707,2.0,late_night,2025-04-29
144136,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main,Monday,2025-04-29 02:50:24.707,2.0,late_night,2025-04-29
144137,113716,3.0,280.0,840.0,1.0,0.0,(),4PcNash,main,Tuesday,2025-04-29 17:39:57.300,17.0,afternoon,2025-04-29
144137,113757,4.0,35.0,140.0,1.0,0.0,(),v7 cola,drink,Tuesday,2025-04-29 17:39:57.300,17.0,afternoon,2025-04-29
144138,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main,Tuesday,2025-04-29 17:43:29.820,17.0,afternoon,2025-04-29
144138,113757,2.0,35.0,70.0,1.0,0.0,(),v7 cola,drink,Tuesday,2025-04-29 17:43:29.820,17.0,afternoon,2025-04-29
144139,113711,1.0,210.0,210.0,1.0,0.0,(),WildEpic,main,Tuesday,2025-04-29 20:28:33.170,20.0,evening,2025-04-29
144139,113710,1.0,190.0,190.0,1.0,0.0,(),Jnash,main,Tuesday,2025-04-29 20:28:33.170,20.0,evening,2025-04-29
144139,113741,1.0,125.0,125.0,1.0,0.0,(),TNT Fries,side,Tuesday,2025-04-29 20:28:33.170,20.0,evening,2025-04-29
144139,113745,1.0,70.0,0.0,4.0,245573.0,(),FRISKES,side,Tuesday,2025-04-29 20:28:33.170,20.0,evening,2025-04-29
144140,113715,1.0,220.0,220.0,1.0,0.0,(),4PcVolt,drink,Tuesday,2025-04-30 01:12:42.323,1.0,late_night,2025-04-30
144140,113710,1.0,190.0,230.0,1.0,0.0,combo,Jnash,main,Tuesday,2025-04-30 01:12:42.323,1.0,late_night,2025-04-30
144140,113764,1.0,25.0,25.0,1.0,0.0,(),Maxi Cola,drink,Tuesday,2025-04-30 01:12:42.323,1.0,late_night,2025-04-30
