Bill_ID,item_ID,QUANTITY,PRICE,Total,ItemType,ParentID,item_notes,Item,Category
144135.0,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink
144135.0,113746,1.0,80.0,80.0,1.0,0.0,(),Cheesy Waffle'd,main
144136.0,113723,1.0,300.0,300.0,1.0,0.0,(),3PC OG,main
144136.0,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main
144137.0,113716,3.0,280.0,840.0,1.0,0.0,(),4PcNash,main
144137.0,113757,4.0,35.0,140.0,1.0,0.0,(),v7 cola,drink
144138.0,113716,1.0,280.0,280.0,1.0,0.0,(),4PcNash,main
144138.0,113757,2.0,35.0,70.0,1.0,0.0,(),v7 cola,drink
144139.0,113711,1.0,210.0,210.0,1.0,0.0,(),WildEpic,main
144139.0,113710,1.0,190.0,190.0,1.0,0.0,(),Jnash,main
144139.0,113741,1.0,125.0,125.0,1.0,0.0,(),TNT Fries,side
144139.0,113745,1.0,70.0,0.0,4.0,245573.0,(),FRISKES,side
144140.0,113715,1.0,220.0,220.0,1.0,0.0,(),4PcVolt,drink
144140.0,113710,1.0,190.0,230.0,1.0,0.0,combo,Jnash,main
144140.0,113764,1.0,25.0,25.0,1.0,0.0,(),Maxi Cola,drink
144141.0,113708,1.0,160.0,200.0,1.0,0.0,combo,JOG,main
144141.0,113709,2.0,165.0,330.0,1.0,0.0,(),Jvolt,drink
144142.0,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink
144142.0,125547,1.0,,0.0,4.0,245583.0,(),pineapple,side
144143.0,113711,1.0,210.0,250.0,1.0,0.0,combo,WildEpic,main
144143.0,113732,1.0,30.0,30.0,2.0,245586.0,(),MUSHROOMS,side
144144.0,113711,1.0,210.0,250.0,1.0,0.0,combo,WildEpic,main
144145.0,113712,1.0,210.0,210.0,1.0,0.0,(),WildBlaze,main
144145.0,113732,1.0,30.0,30.0,2.0,245593.0,(),MUSHROOMS,side
144145.0,113746,1.0,80.0,80.0,1.0,0.0,(),Cheesy Waffle'd,main
144148.0,113757,1.0,35.0,35.0,1.0,0.0,(),v7 cola,drink
144149.0,113715,3.0,220.0,660.0,1.0,0.0,(),4PcVolt,drink
144149.0,113757,3.0,35.0,105.0,1.0,0.0,(),v7 cola,drink
