Bill_ID,item_ID,QUANTITY,PRICE,Total,ItemType,ParentID,item_notes,Item,Category
144135.0,113711.0,1.0,210.0,210.0,1.0,0.0,(),wildepic,main
144135.0,113716.0,1.0,280.0,280.0,1.0,0.0,(),pcnash,main
144135.0,113725.0,1.0,380.0,380.0,1.0,0.0,(),nash,main
144135.0,113757.0,1.0,35.0,35.0,1.0,0.0,(),v cola,drink
144135.0,113746.0,1.0,80.0,80.0,1.0,0.0,(),cheesy waffle,main
144136.0,113723.0,1.0,300.0,300.0,1.0,0.0,(),pc og,main
144136.0,113716.0,1.0,280.0,280.0,1.0,0.0,(),pcnash,main
144137.0,113716.0,3.0,280.0,840.0,1.0,0.0,(),pcnash,main
144137.0,113757.0,4.0,35.0,140.0,1.0,0.0,(),v cola,drink
144138.0,113716.0,1.0,280.0,280.0,1.0,0.0,(),pcnash,main
144138.0,113757.0,2.0,35.0,70.0,1.0,0.0,(),v cola,drink
144139.0,113711.0,1.0,210.0,210.0,1.0,0.0,(),wildepic,main
144139.0,113710.0,1.0,190.0,190.0,1.0,0.0,(),nash,main
144139.0,113741.0,1.0,125.0,125.0,1.0,0.0,(),tnt fries,side
144139.0,113745.0,1.0,0.0,0.0,4.0,245573.0,(),frescas,side
144140.0,113715.0,1.0,220.0,220.0,1.0,0.0,(),pcvolt,drink
144140.0,113710.0,1.0,190.0,190.0,1.0,0.0,combo,nash,main
144140.0,113764.0,1.0,25.0,25.0,1.0,0.0,(),maxi cola,drink
144141.0,113708.0,1.0,160.0,160.0,1.0,0.0,combo,jog,main
144141.0,113709.0,2.0,165.0,330.0,1.0,0.0,(),jvolt,drink
144142.0,113757.0,1.0,35.0,35.0,1.0,0.0,(),v cola,drink
144142.0,0.0,1.0,0.0,0.0,4.0,245583.0,(),pineapple,side
144143.0,113711.0,1.0,210.0,210.0,1.0,0.0,combo,wildepic,main
144143.0,113732.0,1.0,30.0,30.0,2.0,245586.0,(),mushroom,side
144144.0,113711.0,1.0,210.0,210.0,1.0,0.0,combo,wildepic,main
144145.0,113712.0,1.0,210.0,210.0,1.0,0.0,(),wildblaze,main
144145.0,113732.0,1.0,30.0,30.0,2.0,245593.0,(),mushroom,side
144145.0,113746.0,1.0,80.0,80.0,1.0,0.0,(),cheesy waffle,main
144148.0,113757.0,1.0,35.0,35.0,1.0,0.0,(),v cola,drink
144149.0,113715.0,3.0,220.0,660.0,1.0,0.0,(),pcvolt,drink
144149.0,113757.0,3.0,35.0,105.0,1.0,0.0,(),v cola,drink
144150.0,113715.0,1.0,220.0,220.0,1.0,0.0,(),pcvolt,drink
144151.0,113715.0,1.0,220.0,220.0,1.0,0.0,(),pcvolt,drink
144151.0,113725.0,1.0,0.0,0.0,4.0,245604.0,(),nash,main
144151.0,113746.0,1.0,80.0,80.0,1.0,0.0,(),cheesy waffle,main
144151.0,113759.0,1.0,35.0,35.0,1.0,0.0,(),green cola,drink
144152.0,113715.0,1.0,220.0,220.0,1.0,0.0,(),pcvolt,drink
144153.0,113741.0,1.0,125.0,125.0,1.0,0.0,(),tnt fries,side
144153.0,113757.0,2.0,35.0,70.0,1.0,0.0,(),v cola,drink
144154.0,113716.0,1.0,280.0,280.0,1.0,0.0,(),pcnash,main
144154.0,113757.0,2.0,35.0,70.0,1.0,0.0,(),v cola,drink
144155.0,113716.0,1.0,280.0,280.0,1.0,0.0,(),pcnash,main
144155.0,113741.0,1.0,125.0,125.0,1.0,0.0,(),tnt fries,side
144155.0,113757.0,2.0,35.0,70.0,1.0,0.0,(),v cola,drink
144156.0,113713.0,2.0,250.0,500.0,1.0,0.0,combo,wildnash,main
144157.0,113715.0,1.0,220.0,220.0,1.0,0.0,(),pcvolt,drink
144158.0,113708.0,1.0,160.0,160.0,1.0,0.0,combo,jog,main
144158.0,113711.0,1.0,210.0,210.0,1.0,0.0,combo,wildepic,main
144159.0,113709.0,1.0,165.0,165.0,1.0,0.0,(),jvolt,drink
144160.0,113713.0,2.0,250.0,500.0,1.0,0.0,(),wildnash,main
144162.0,113716.0,1.0,280.0,280.0,1.0,0.0,(),pcnash,main
144163.0,113710.0,2.0,190.0,380.0,1.0,0.0,combo,nash,main
144160.0,113764.0,2.0,25.0,50.0,1.0,0.0,(),maxi cola,drink
