Billdet_ID,FRANCHISE_ID,SITE_ID,Bill_ID,item_ID,QUANTITY,PRICE,Total,Note,ItemName,ItemName_Local,ItemType,ParentID,IsUpload,BillDetailStatus,BillDetailKey,TotalBeforDiscount,PriceListId,Bill_UnitID,CallCenterOrderDetailId,tablekey_ID,DetailSourceId,DiscountValue,TaxValue
244512,139,257,143128,113714,1.000000,220.000000,220.000000,NULL,4PcOG,NULL,1,0,1,4,NULL,220.000000,0,147307,NULL,0,NULL,0.000000,0.000000
244513,139,257,143128,0,1.000000,0.000000,0.000000,NULL,2حار 2 بارد,NULL,4,244512,1,4,257-244513,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
244514,139,257,143128,113757,2.000000,35.000000,70.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,70.000000,0,147350,NULL,0,NULL,0.000000,0.000000
244515,139,257,143128,113742,1.000000,35.000000,35.000000,NULL,French Fries,NULL,1,0,1,4,NULL,35.000000,0,147335,NULL,0,NULL,0.000000,0.000000
244516,139,257,143128,113741,1.000000,125.000000,125.000000,NULL,TNT Fries,NULL,1,0,1,4,NULL,125.000000,0,147334,NULL,0,NULL,0.000000,0.000000
244517,139,257,143129,113711,1.070000,210.000000,224.700000,NULL,WildEpic,NULL,1,0,1,4,NULL,224.700000,0,147304,NULL,0,NULL,0.000000,0.000000
244518,139,257,143129,0,1.000000,0.000000,0.000000,NULL,بيكون ,NULL,4,244517,1,4,257-244518,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
244519,139,257,143129,0,1.000000,0.000000,0.000000,NULL,فراخ سبايس ,NULL,4,244517,1,4,257-244519,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
244520,139,257,143129,113709,1.000000,165.000000,165.000000,NULL,Jvolt,NULL,1,0,1,4,NULL,165.000000,0,147302,NULL,0,NULL,0.000000,0.000000
244521,139,257,143130,113757,1.000000,35.000000,35.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,35.000000,0,147350,NULL,0,NULL,0.000000,0.000000
244522,139,257,143131,113714,1.000000,220.000000,220.000000,NULL,4PcOG,NULL,1,0,1,4,NULL,220.000000,0,147307,NULL,0,NULL,0.000000,0.000000
244523,139,257,143131,113715,1.000000,220.000000,220.000000,NULL,4PcVolt,NULL,1,0,1,4,NULL,220.000000,0,147308,NULL,0,NULL,0.000000,0.000000
244524,139,257,143131,113805,1.000000,30.000000,30.000000,NULL,Delivery Charge,خدمة التوصيل,5,0,1,4,NULL,30.000000,0,147408,NULL,0,NULL,NULL,NULL
244525,139,257,143132,113715,1.000000,220.000000,220.000000,NULL,4PcVolt,NULL,1,0,1,4,NULL,220.000000,0,147308,NULL,0,NULL,0.000000,0.000000
244526,139,257,143132,113724,1.000000,300.000000,300.000000,NULL,3PC VOLT,NULL,1,0,1,4,NULL,300.000000,0,147317,NULL,0,NULL,0.000000,0.000000
245478,139,257,144115,113723,1.000000,300.000000,300.000000,NULL,3PC OG,NULL,1,0,1,4,NULL,300.000000,0,147316,NULL,0,NULL,0.000000,0.000000
245479,139,257,144115,113711,1.000000,210.000000,210.000000,NULL,WildEpic,NULL,1,0,1,4,NULL,210.000000,0,147304,NULL,0,NULL,0.000000,0.000000
245480,139,257,144115,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245479,1,4,257-245480,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245481,139,257,144115,113757,1.000000,35.000000,35.000000,NULL,v7 cola,NULL,1,0,1,4,NULL,35.000000,0,147350,NULL,0,NULL,0.000000,0.000000
245482,139,257,144116,113741,1.000000,125.000000,125.000000,NULL,TNT Fries,NULL,1,0,1,4,NULL,125.000000,0,147334,NULL,0,NULL,0.000000,0.000000
245483,139,257,144117,113713,1.000000,250.000000,250.000000,NULL,WildNash,NULL,1,0,1,4,NULL,250.000000,0,147306,NULL,0,NULL,0.000000,0.000000
245484,139,257,144117,0,1.000000,0.000000,0.000000,NULL,قظعة وايلد مع كب صوص شيدر مع خيار مخلل ذيادة ,NULL,4,245483,1,4,257-245484,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245485,139,257,144117,0,1.000000,0.000000,0.000000,NULL,مع مشروم فريش متشوح في الذبده ,NULL,4,245483,1,4,257-245485,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245486,139,257,144117,113805,1.000000,30.000000,30.000000,NULL,Delivery Charge,خدمة التوصيل,5,0,1,4,NULL,30.000000,0,147408,NULL,0,NULL,NULL,NULL
245487,139,257,144118,113710,1.000000,190.000000,190.000000,NULL,Jnash ,NULL,1,0,1,4,NULL,190.000000,0,147303,NULL,0,NULL,0.000000,0.000000
245488,139,257,144118,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245487,1,4,257-245488,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245489,139,257,144118,113710,1.000000,190.000000,190.000000,NULL,Jnash ,NULL,1,0,1,4,NULL,190.000000,0,147303,NULL,0,NULL,0.000000,0.000000
245490,139,257,144118,113737,1.000000,20.000000,20.000000,NULL,Mozzarella Stick,NULL,2,245489,1,4,257-245490,20.000000,0,147330,NULL,0,NULL,0.000000,0.000000
245491,139,257,144118,0,1.000000,0.000000,0.000000,NULL,حلقة بصل ,NULL,4,245489,1,4,257-245491,0.000000,0,NULL,NULL,0,NULL,NULL,NULL
245492,139,257,144118,125556,1.000000,40.000000,40.000000,NULL,Combo,NULL,2,245489,1,4,257-245492,40.000000,0,164572,NULL,0,NULL,0.000000,0.000000
245493,139,257,144118,113714,1.000000,220.000000,220.000000,NULL,4PcOG,NULL,1,0,1,4,NULL,220.000000,0,147307,NULL,0,NULL,0.000000,0.000000
